TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
3.40.30.10	-	0.21820434935763	-1.52232327288709	121	11	0.0184873949579832	595	8569	26043,373156,25932,23190,84817,54495,2923,10190,195827,25828,79031	UBXN7,GSTK1,CLIC4,UBXN4,TXNDC17,TMX3,PDIA3,TXNDC9,AAED1,TXN2,PDCL3
1.10.10.10	-	0.224514900237781	-1.49381320323265	213	18	0.0302521008403361	595	8569	2078,114803,8450,55132,6601,2113,93986,8065,6599,2963,3344,113251,10411,1998,200576,64864,50809,7994	ERG,MYSM1,CUL4B,LARP1B,SMARCC2,ETS1,FOXP2,CUL5,SMARCC1,GTF2F2,FOXN2,LARP4,RAPGEF3,ELF2,PIKFYVE,RFX7,HP1BP3,KAT6A
1.10.540.10	-	0.226966420204062	-1.48295320105972	13	2	0.00336134453781513	595	8569	34,3712	ACADM,IVD
2.10.10.10	-	0.226966420204062	-1.48295320105972	13	2	0.00336134453781513	595	8569	22925,3482	PLA2R1,IGF2R
1.20.900.10	-	0.231632873379605	-1.46260160302942	72	7	0.0117647058823529	595	8569	6655,11214,9459,50618,8874,57679,7204	SOS2,AKAP13,ARHGEF6,ITSN2,ARHGEF7,ALS2,TRIO
2.60.200.20	-	0.238071452484656	-1.43518442984406	36	4	0.00672268907563025	595	8569	4301,55109,23095,4683	MLLT4,AGGF1,KIF1B,NBN
1.20.142.10	-	0.250171994484592	-1.38560661972986	4	1	0.00168067226890756	595	8569	142	PARP1
1.20.5.630	-	0.250171994484592	-1.38560661972986	4	1	0.00168067226890756	595	8569	3688	ITGB1
3.30.1490.100	-	0.250171994484592	-1.38560661972986	4	1	0.00168067226890756	595	8569	51426	POLK
3.30.559.10	-	0.250171994484592	-1.38560661972986	4	1	0.00168067226890756	595	8569	1629	DBT
3.40.225.10	-	0.250171994484592	-1.38560661972986	4	1	0.00168067226890756	595	8569	118	ADD1
3.40.532.10	-	0.250171994484592	-1.38560661972986	4	1	0.00168067226890756	595	8569	51377	UCHL5
3.40.50.1580	-	0.250171994484592	-1.38560661972986	4	1	0.00168067226890756	595	8569	4507	MTAP
2.30.180.10	-	0.250171994484592	-1.38560661972986	4	1	0.00168067226890756	595	8569	10631	POSTN
3.90.370.10	-	0.250171994484592	-1.38560661972986	4	1	0.00168067226890756	595	8569	7078	TIMP3
3.10.110.10	-	0.278774170240657	-1.27735325058333	51	5	0.00840336134453781	595	8569	7335,3093,7332,7322,51465	UBE2V1,UBE2K,UBE2L3,UBE2D2,UBE2J1
1.10.506.10	-	0.279918300441883	-1.27325750252629	15	2	0.00336134453781513	595	8569	8826,26130	IQGAP1,GAPVD1
2.40.110.10	-	0.279918300441883	-1.27325750252629	15	2	0.00336134453781513	595	8569	34,3712	ACADM,IVD
3.30.160.60	-	0.282853589587695	-1.26282586649148	676	51	0.0857142857142857	595	8569	169792,59269,65986,7559,163087,54925,163051,57336,6018,7587,57209,253461,7586,11108,6935,58491,7707,5978,1386,168850,284370,10780,388536,7678,121536,7748,79364,147657,79862,25850,7570,388566,7581,23414,252884,100101467,121274,22835,57621,84146,256051,84307,7528,163049,285349,7799,27107,158431,10009,9839,22847	GLIS3,HIVEP3,ZBTB10,ZNF12,ZNF383,ZSCAN32,ZNF709,ZNF287,RLF,ZNF37A,ZNF248,ZBTB38,ZKSCAN1,PRDM4,ZEB1,ZNF71,ZNF148,REST,ATF2,ZNF800,ZNF615,ZNF234,ZNF790,ZNF124,AEBP2,ZNF195,ZXDC,ZNF480,ZNF669,ZNF345,ZNF22,ZNF470,ZNF33A,ZFPM2,ZNF396,ZSCAN30,ZNF641,ZFP30,ZBTB2,ZNF644,ZNF549,ZNF397,YY1,ZNF791,ZNF660,PRDM2,ZBTB11,ZNF782,ZBTB33,ZEB2,ZNF507
3.40.120.10	-	0.302261622424003	-1.19646233721081	5	1	0.00168067226890756	595	8569	5238	PGM3
3.30.43.10	-	0.302261622424003	-1.19646233721081	5	1	0.00168067226890756	595	8569	8540	AGPS
1.10.1200.10	-	0.302261622424003	-1.19646233721081	5	1	0.00168067226890756	595	8569	132949	AASDH
3.20.90.10	-	0.302261622424003	-1.19646233721081	5	1	0.00168067226890756	595	8569	56995	TULP4
1.10.555.10	-	0.308225288250367	-1.17692430803332	66	6	0.0100840336134454	595	8569	57584,9743,9411,93663,5295,51306	ARHGAP21,ARHGAP32,ARHGAP29,ARHGAP18,PIK3R1,FAM13B
2.60.40.820	-	0.332586769230531	-1.10085449283857	17	2	0.00336134453781513	595	8569	6910,23269	TBX5,MGA
4.10.800.10	-	0.332586769230531	-1.10085449283857	17	2	0.00336134453781513	595	8569	4811,3488	NID1,IGFBP5
