Probe Set ID	UniGene ID.1
36908_at	Hs.75182.1
36196_at	Hs.75160.1
40378_at	Hs.75149.1
36193_at	Hs.75139.1
36189_at	Hs.75117.1
36906_at	Hs.75110.1
36184_at	Hs.75093.1
36178_at	Hs.75069.1
36177_at	Hs.75066.1
36176_at	Hs.75064.1
36174_at	Hs.75061.1
599_at	Hs.74870.1
36170_at	Hs.7486.1
40377_at	Hs.7482.1
1106_s_at	Hs.74647.1
1110_at	Hs.74647.1
31322_at	Hs.74647.1
31556_at	Hs.74647.1
31710_at	Hs.74647.1
38917_at	Hs.74647.1
432_s_at	Hs.74647.1
433_at	Hs.74647.1
1731_at	Hs.74615.1
1968_g_at	Hs.74615.1
1987_at	Hs.74615.1
1988_at	Hs.74615.1
36157_at	Hs.74615.1
36152_at	Hs.74576.1
36148_at	Hs.74565.1
36147_at	Hs.74564.1
36146_at	Hs.74563.1
2018_at	Hs.74471.1
32531_at	Hs.74471.1
160035_at	Hs.74466.1
32530_at	Hs.74405.1
409_at	Hs.74405.1
36893_at	Hs.744.1
32529_at	Hs.74368.1
36888_at	Hs.7426.1
35754_at	Hs.74137.1
36128_at	Hs.74137.1
36778_at	Hs.74124.1
36120_at	Hs.74050.1
36119_at	Hs.74034.1
646_s_at	Hs.73986.1
32431_at	Hs.73982.1
1485_at	Hs.73962.1
1077_at	Hs.73958.1
40372_at	Hs.73923.1
1574_s_at	Hs.73917.1
33981_at	Hs.73917.1
40371_at	Hs.73893.1
682_at	Hs.73890.1
36876_at	Hs.73875.1
1113_at	Hs.73853.1
40367_at	Hs.73853.1
36106_at	Hs.73849.1
33979_at	Hs.73839.1
34636_at	Hs.73809.1
40366_at	Hs.73800.1
876_at	Hs.73799.1
40365_at	Hs.73797.1
1953_at	Hs.73793.1
36100_at	Hs.73793.1
36101_s_at	Hs.73793.1
39311_at	Hs.73769.1
534_s_at	Hs.73769.1
821_s_at	Hs.73769.1
34634_s_at	Hs.73739.1
34635_at	Hs.73739.1
34632_r_at	Hs.73734.1
34633_s_at	Hs.73734.1
2025_s_at	Hs.73722.1
410_s_at	Hs.73527.1
36094_at	Hs.73454.1
33977_at	Hs.73172.1
1346_at	Hs.73133.1
870_f_at	Hs.73133.1
2015_s_at	Hs.73105.1
526_s_at	Hs.73105.1
40362_at	Hs.73090.1
40363_r_at	Hs.73090.1
535_s_at	Hs.73090.1
544_at	Hs.73090.1
545_g_at	Hs.73090.1
33974_at	Hs.73088.1
34627_at	Hs.73082.1
40361_at	Hs.73072.1
36771_at	Hs.73037.1
35114_at	Hs.7303.1
33970_at	Hs.73021.1
33969_at	Hs.73010.1
33968_at	Hs.72964.1
34626_at	Hs.72956.1
34625_at	Hs.72938.1
618_at	Hs.72933.1
40359_at	Hs.72925.1
33965_at	Hs.72918.1
1024_at	Hs.72912.1
1025_g_at	Hs.72912.1
36767_at	Hs.72912.1
33964_at	Hs.72910.1
1607_at	Hs.72901.1
34624_at	Hs.72901.1
33963_at	Hs.72885.1
32426_f_at	Hs.72879.1
36766_at	Hs.728.1
36864_at	Hs.7277.1
36765_at	Hs.72620.1
36863_at	Hs.72550.1
1316_at	Hs.724.1
31637_s_at	Hs.724.1
32520_at	Hs.724.1
35846_at	Hs.724.1
616_s_at	Hs.724.1
36764_at	Hs.7235.1
1886_at	Hs.72290.1
1887_g_at	Hs.72290.1
36763_at	Hs.72290.1
36762_at	Hs.7195.1
36858_at	Hs.71827.1
35840_at	Hs.7158.1
35839_at	Hs.71465.1
36759_at	Hs.7138.1
35837_at	Hs.7122.1
31514_at	Hs.71215.1
34622_at	Hs.711.1
35835_at	Hs.7101.1
886_at	Hs.709.1
35833_at	Hs.7089.1
40340_at	Hs.70769.1
34621_at	Hs.707.1
39116_at	Hs.706477.1
39880_at	Hs.706427.1
31800_at	Hs.706113.1
35072_at	Hs.705845.1
41274_at	Hs.705826.1
33762_r_at	Hs.705817.1
31912_at	Hs.705796.1
36761_at	Hs.705784.1
33973_at	Hs.705777.1
39191_at	Hs.705773.1
39882_at	Hs.705773.1
33041_at	Hs.705674.1
39282_at	Hs.705610.1
33125_at	Hs.705609.1
35313_at	Hs.705608.1
34474_at	Hs.705605.1
41460_at	Hs.705604.1
33002_at	Hs.705602.1
33003_at	Hs.705602.1
33004_g_at	Hs.705602.1
40974_at	Hs.705600.1
41597_s_at	Hs.705587.1
35202_at	Hs.705569.1
33189_at	Hs.705563.1
33190_g_at	Hs.705563.1
32763_r_at	Hs.705555.1
38601_at	Hs.705554.1
38511_at	Hs.705524.1
35637_at	Hs.705521.1
