ProbeID	PrimaryAccession
A_24_P409521	A_24_P409521
A_23_P97990	NM_002775
A_24_P892542	BC043255
A_23_P39067	NM_003121
A_23_P158570	NM_001609
A_23_P161998	NM_000613
A_23_P63096	NM_001004319
A_23_P432110	NM_014989
A_23_P42353	NM_016135
A_32_P116105	BC024649
A_32_P57172	A_32_P57172
A_24_P290856	NM_130853
A_24_P944113	AI401434
A_24_P221515	BC001644
A_23_P126278	NM_003465
A_32_P181593	BX100786
A_23_P131308	NM_000784
A_23_P42368	NM_016485
A_23_P167389	NM_022481
A_23_P37966	THC2556482
A_23_P63067	NM_033657
A_32_P76247	NM_001540
A_24_P922726	A_24_P922726
A_24_P206427	NM_001568
A_32_P159651	NM_003884
A_23_P25086	ENST00000293502
A_24_P928901	NM_001859
A_23_P65741	NM_133375
A_32_P229104	BM983822
A_24_P490463	A_24_P490463
A_24_P863124	THC2776730
A_24_P316532	ENST00000323108
A_23_P39088	NM_198319
A_23_P110076	NM_182627
A_23_P42335	NM_021922
A_32_P332	NR_003143
A_23_P42331	NM_145904
A_24_P270971	NM_031294
A_23_P119130	NM_001022
A_23_P141180	NM_001082968
A_32_P76255	BQ186660
A_24_P16378	ENST00000332689
A_24_P290833	BC022395
A_23_P819	NM_005101
A_23_P502196	NM_174855
A_32_P159668	THC2663614
A_23_P436145	BC031979
A_23_P37942	NM_021195
A_23_P131365	NM_005006
A_23_P131363	NM_005006
A_23_P161983	NM_054032
A_23_P37949	NM_024339
A_24_P394698	NM_181747
A_24_P206047	NM_001151
A_24_P942694	NM_018017
A_23_P328836	NM_032440
A_24_P173865	AK027396
A_32_P11764	THC2655508
A_23_P97952	NM_198472
A_32_P34064	A_32_P34064
A_24_P912889	NM_203472
A_24_P921174	THC2599169
A_32_P895346	AB067495
A_23_P110052	NM_023067
A_24_P270999	NM_000334
A_24_P715434	A_24_P715434
A_23_P63050	NM_000374
A_24_P217489	NM_000824
A_23_P873	BC031655
A_23_P141163	NM_003647
A_24_P221551	AK094477
A_23_P96501	NM_001003811
A_23_P385790	NM_174901
A_23_P103919	NM_003779
A_24_P173895	A_24_P173895
A_32_P194095	ENST00000383810
A_24_P198598	NM_002675
A_32_P79178	THC2513333
A_23_P127721	NM_002559
A_23_P119102	NM_003370
A_23_P217938	NM_006542
A_24_P763655	THC2596442
A_32_P206618	THC2656077
A_32_P11701	BF939434
A_23_P79889	NM_020673
A_32_P34003	THC2660651
A_32_P206612	BX089851
A_24_P766716	AK126405
A_24_P753454	BC039542
A_23_P63038	NM_022356
A_24_P876408	AK096306
A_23_P36458	AK074256
A_23_P63032	NM_007102
A_24_P221575	NM_014961
A_23_P103932	NM_005248
A_24_P341626	A_24_P341626
A_23_P356484	NM_001014
A_24_P278637	NM_003824
A_24_P912871	A_24_P912871
A_23_P502158	NM_002390
A_23_P97906	NM_012229
A_32_P79115	XM_001133211
A_24_P399942	NM_173694
A_32_P213650	THC2709990
A_23_P42306	NM_006120
A_23_P42302	NM_020056
A_23_P845	NM_032174
A_24_P169688	NM_005931
A_24_P896205	XM_944447
A_32_P11723	ENST00000249480
A_24_P87257	NM_015156
A_23_P119168	A_23_P119168
A_24_P278621	NM_012193
A_32_P160972	BC014953
A_23_P37914	NM_052944
A_24_P647682	XR_018043
A_23_P37910	NM_002746
A_23_P155688	NM_021114
A_23_P28011	NM_033196
A_23_P63017	NM_006499
A_23_P421935	BC037418
A_23_P28012	NM_033196
A_23_P28015	NM_144693
A_23_P63010	NM_181746
A_24_P922750	A_24_P922750
A_23_P119152	A_23_P119152
A_23_P141126	NM_000154
A_23_P103951	A_23_P103951
A_23_P96542	NM_001017980
A_23_P97923	NM_032439
A_24_P662636	AW134546
A_32_P213678	AK123439
A_24_P295999	NM_000616
A_23_P502170	NM_015522
A_24_P921122	NM_003328
A_24_P807248	AL049254
A_23_P502174	NM_015522
A_24_P697685	AJ697972
A_23_P127760	NM_017716
A_23_P119143	NM_003259
A_23_P119141	NM_203500
A_23_P103923	NM_014864
A_23_P79842	NM_015937
A_23_P356494	NM_006846
A_24_P278602	NM_173042
A_24_P278603	BC103878
A_23_P97932	NM_012228
A_24_P209765	NM_007234
A_32_P527232	NM_033200
A_32_P79103	BM932034
A_32_P233019	NM_012430
A_32_P167352	THC2513935
A_23_P431638	BC029662
A_23_P431630	NM_032582
A_32_P191141	A_32_P191141
A_23_P897	NM_023938
A_32_P36709	A_32_P36709
A_23_P103971	NM_178134
A_23_P18684	NM_004362
A_24_P209772	NM_007234
A_24_P37319	NM_004457
A_23_P38446	NM_021137
A_23_P96568	NM_001456
A_23_P392575	NM_080671
A_32_P213615	AK096778
A_23_P155677	NM_005339
A_23_P28023	NM_030901
A_23_P121405	NM_013286
A_24_P21715	NM_004584
A_23_P96599	ENST00000372602
A_23_P887	NM_014002
A_23_P103942	NM_018198
A_23_P167324	NM_000297
A_23_P96590	NM_014710
A_24_P941649	AL834189
A_24_P531720	A_24_P531720
A_23_P392544	AF338231
A_24_P37300	AF052115
A_23_P28057	NM_003249
A_24_P772330	AK093903
A_24_P754803	NM_006013
A_24_P922793	AF268194
A_24_P912818	XM_001130092
A_23_P119196	NM_016270
A_23_P356425	NM_144696
A_23_P211363	NM_002073
A_23_P103996	NM_002061
A_23_P342600	NM_080836
A_24_P51322	NM_002016
A_32_P213637	AK092942
A_24_P295745	NM_153201
A_24_P190894	NM_001658
A_23_P28042	BC015765
A_32_P212764	AA554768
A_23_P79803	NM_080607
A_24_P662646	ENST00000379547
A_24_P941627	A_24_P941627
A_24_P363615	NM_145808
A_24_P228026	NM_144611
A_32_P459533	NM_015122
A_23_P103968	NM_012067
A_23_P155660	NM_020416
A_23_P342612	NM_001194
A_23_P28075	NM_002085
A_24_P10226	NM_024966
A_24_P256840	AF130086
A_24_P936628	A_24_P936628
A_23_P214681	NM_006238
A_24_P256847	AF305822
A_24_P700210	THC2675272
A_24_P160680	ENST00000269336
A_23_P155638	NM_000258
A_23_P346912	NM_138796
A_23_P155632	NM_005191
A_23_P37988	NM_152727
A_24_P37355	THC2666329
A_32_P79192	AL541613
A_32_P233049	THC2600687
A_23_P38408	NM_024835
A_24_P922173	A_24_P922173
A_24_P21752	NM_032811
A_23_P28068	NM_133644
A_24_P52004	NM_015200
A_23_P103981	NM_003516
A_24_P931889	CD691495
A_23_P315872	NM_022340
A_24_P327084	NM_152891
A_24_P826578	XM_001128865
A_24_P936605	U87972
A_23_P155601	NM_001002294
A_32_P835626	AF531436
A_24_P51374	AF351612
A_23_P37994	NM_016212
A_32_P218436	A_32_P218436
A_24_P256863	NM_005119
A_24_P48627	ENST00000262971
A_23_P79818	NM_016470
A_23_P28090	NM_003765
A_23_P15876	NM_052947
A_23_P79816	NM_052846
A_24_P29885	NM_002514
A_23_P22596	NM_015507
A_23_P419411	AF119886
A_23_P64313	X64985
A_23_P38427	NM_032932
A_23_P315843	NM_020967
A_23_P157914	NM_153267
A_32_P459529	BC004382
A_23_P342641	NM_152697
A_24_P51360	NM_020117
A_24_P256817	AF116621
A_24_P10233	NM_014326
A_23_P214638	NM_006709
A_24_P936618	A_24_P936618
A_24_P21770	NM_145008
A_23_P113888	NM_152383
A_24_P160696	NM_033364
A_23_P78158	NM_004703
A_24_P278684	NM_001004285
A_23_P315815	NM_013961
A_24_P800363	AU146536
A_24_P725998	THC2706471
A_23_P155624	NM_004068
A_24_P29876	NM_018361
A_24_P921213	A_24_P921213
A_32_P742404	AF116701
A_32_P302205	NM_001041
A_32_P98683	NM_005937
A_24_P193600	NM_003450
A_23_P424689	NR_002193
A_24_P892494	AK058104
A_24_P160649	NM_014864
A_24_P615207	A_24_P615207
A_32_P92355	THC2700191
A_32_P168853	AK123481
A_24_P333341	AK074586
A_24_P174824	NM_006425
A_23_P333705	NM_002498
A_23_P64372	NM_001062
A_24_P679796	A_24_P679796
A_24_P10214	NM_014178
A_24_P48617	NM_006830
A_23_P83414	NM_002709
A_24_P399980	NM_014799
A_32_P118325	BU567832
A_32_P98693	THC2476238
A_24_P256830	NM_006544
A_24_P190873	NM_173509
A_24_P796428	A_24_P796428
A_24_P29859	NM_152765
A_24_P190877	NM_030934
A_23_P366828	NM_001171
A_32_P171185	THC2664196
A_23_P315836	NM_017451
A_32_P171181	NM_173638
A_23_P64306	NM_024114
A_23_P201901	BX537432
A_23_P325339	ENST00000356572
A_24_P528846	NP110187
A_32_P126733	BI916497
A_32_P118372	NM_015693
A_24_P190804	NM_003916
A_24_P193624	NM_032268
A_23_P110386	AK021912
A_23_P214627	NM_004847
A_23_P142969	NM_021088
A_24_P327011	NM_021823
A_24_P379450	ENST00000377705
A_32_P180887	THC2613389
A_24_P476247	THC2541425
A_23_P407750	A_23_P407750
A_23_P358345	NM_001043
A_32_P85279	BC005066
A_23_P214678	NM_015921
A_32_P879150	THC2527842
A_23_P142950	NM_015575
A_32_P218482	AL109706
A_23_P424648	NM_177963
A_23_P22565	NM_033085
A_23_P433504	AK091315
A_32_P181891	AK097571
A_24_P185421	NM_018215
A_24_P673209	A_24_P673209
A_24_P380234	NM_016605
A_32_P103558	AK094799
A_23_P45913	NM_004814
A_23_P214603	NM_005803
A_32_P92399	NM_032382
A_32_P118397	NM_198151
A_24_P193648	NM_133443
A_32_P100974	NM_000986
A_24_P556318	AY209188
A_23_P164797	NM_016202
A_24_P344537	NM_145233
A_23_P212383	NM_014016
A_23_P424637	AK098143
A_23_P72537	NM_004208
A_23_P69637	NM_017493
A_23_P214658	NM_002586
A_32_P103162	A_32_P103162
A_24_P29818	NM_000989
A_23_P142974	NM_001007231
A_32_P332551	NM_182508
A_23_P64343	NM_012456
A_32_P182991	CK300666
A_32_P171143	NM_203393
A_23_P318860	NM_005161
A_24_P410809	NM_014709
A_32_P116088	A_32_P116088
A_23_P201940	NM_012134
A_24_P7965	NM_206594
A_23_P69606	NM_001133
A_24_P887805	A_24_P887805
A_23_P72527	NM_014237
A_23_P57784	NM_021101
A_23_P214666	NM_022551
A_24_P458252	A_24_P458252
A_32_P102935	NM_001008779
A_32_P113472	CA314451
A_24_P922182	AF289600
A_24_P403459	NM_021068
A_24_P327050	NM_016209
A_24_P344516	NM_024924
A_24_P379413	NM_000565
A_23_P424617	NM_170724
A_32_P85230	BE646426
A_24_P7974	AF161369
A_23_P203463	NM_006284
A_23_P69617	NM_003728
A_23_P69614	ENST00000281133
A_32_P181822	R88965
A_24_P380284	NM_019119
A_32_P103508	AK096022
A_32_P181826	THC2631150
A_24_P922199	THC2527953
A_24_P298616	A_24_P298616
A_32_P154223	THC2670565
A_23_P142918	NM_153689
A_23_P104798	NM_001562
A_32_P140220	THC2678509
A_23_P72503	NM_007246
A_23_P315892	NM_013443
A_24_P942163	ENST00000368945
A_24_P7946	NM_021807
A_23_P69663	NM_006259
A_24_P778529	AK021897
A_24_P26897	NM_005539
A_23_P366890	AK024625
A_24_P665455	AL109707
A_24_P277747	NM_006586
A_23_P57760	NM_152282
A_23_P366895	NM_138706
A_23_P7412	NM_024850
A_32_P116058	BC065204
A_32_P154256	NM_006826
A_23_P127684	NM_003697
A_32_P171152	AI133203
A_24_P108005	NM_022818
A_24_P942177	AA779418
A_24_P722216	NM_018706
A_23_P69670	NM_018366
A_23_P213908	NM_032177
A_23_P205281	NM_004894
A_24_P7950	NM_006113
A_32_P20535	AA279208
A_24_P316231	AK057513
A_23_P161837	NM_130385
A_24_P316234	AK090485
A_32_P125803	BC034812
A_32_P46817	THC2701372
A_23_P72568	NM_003794
A_32_P49832	NM_001042475
A_24_P169773	AF338232
A_23_P205296	NM_018199
A_23_P83493	NM_016033
A_24_P336705	NM_004582
A_23_P205293	NM_018199
A_24_P185484	NM_014910
A_24_P185487	NM_014910
A_32_P159347	NM_194247
A_24_P86868	NM_212554
A_23_P164706	NM_003451
A_24_P335781	NM_001117
A_24_P892472	NR_002791
A_23_P127418	NM_005959
A_23_P110304	NM_144571
A_32_P46840	AK090664
A_24_P141520	AK022297
A_32_P102979	THC2757602
A_23_P213966	NM_030953
A_23_P7783	NM_016604
A_32_P57002	A_32_P57002
A_23_P69652	NM_080819
A_23_P72550	NM_003565
A_24_P335759	NM_016239
A_23_P110319	NM_025087
A_23_P205265	NM_001969
A_32_P102966	AK093963
A_24_P922349	THC2643488
A_32_P234076	BC079833
A_32_P125820	THC2653012
A_24_P497524	BC036236
A_24_P350499	AK074620
A_32_P171124	THC2717023
A_23_P78191	NM_025099
A_24_P270814	NM_016823
A_24_P221092	AF289615
A_24_P66838	ENST00000309901
A_24_P169713	THC2497143
A_23_P169993	NM_001115
A_24_P548953	NM_001013670
A_23_P205273	NM_015316
A_32_P3322	A_32_P3322
A_24_P119813	AY014273
A_32_P206949	NM_198276
A_23_P415622	NM_014805
A_23_P42282	NM_001002029
A_32_P10187	THC2617924
A_24_P463973	AK123878
A_23_P303317	NM_025112
A_23_P213944	NM_001945
A_23_P104705	NM_001532
A_24_P336718	NM_002871
A_24_P316279	AK096139
A_23_P205247	NM_015156
A_24_P548966	ENST00000371655
A_24_P316270	AK094969
A_23_P57733	NM_033663
A_24_P674118	A_24_P674118
A_23_P131476	NM_020122
A_23_P7791	NM_024576
A_32_P57057	NM_006313
A_24_P683861	ENST00000390594
A_23_P69683	NM_006323
A_23_P213959	NM_133263
A_23_P385673	X89399
A_23_P57709	NM_013363
A_24_P152833	CV323793
A_23_P205255	NM_181302
A_23_P110345	NM_012110
A_32_P125832	AK123079
A_24_P697345	BX106478
A_24_P98762	NM_002716
A_23_P329335	NM_178229
A_23_P42265	NM_019101
A_24_P922261	BC029919
A_24_P942199	A_24_P942199
A_23_P416089	NM_138964
A_23_P431587	NM_001009921
A_24_P270829	NM_000173
A_23_P205228	NM_000053
A_23_P72697	NM_178172
A_23_P69695	NM_001008388
A_24_P922300	AB051442
A_23_P142994	NM_152945
A_23_P101521	NM_152358
A_24_P350457	AK023827
A_23_P131417	NM_005336
A_23_P42251	NM_025263
A_23_P42257	NM_003897
A_23_P431591	NM_001014279
A_23_P127613	NM_016146
A_24_P566831	AF038184
A_32_P11673	A_32_P11673
A_24_P463929	AK091900
A_32_P159320	AK123649
A_24_P221057	XR_019252
A_23_P358394	NM_015864
A_24_P301186	NM_001008726
A_23_P110362	NM_021970
A_23_P37484	NM_014918
A_23_P145244	NM_152736
A_23_P42241	NM_030876
A_24_P102198	AK024455
A_23_P104741	ENST00000278934
A_24_P922244	AF085829
A_32_P206917	A_32_P206917
A_24_P221007	ENST00000358984
A_32_P76720	NM_016575
A_32_P113190	THC2630755
A_24_P16610	NM_032268
A_23_P96633	NM_017863
A_23_P7727	NM_001884
A_23_P205200	NM_024705
A_24_P490746	THC2642612
A_32_P46899	A_32_P46899
A_24_P399871	NM_021096
A_23_P101505	NM_144947
A_23_P131435	NM_014880
A_24_P916164	BC008759
A_24_P922271	S72478
A_24_P896188	BM451513
A_23_P104734	NM_152713
A_23_P169978	NM_020747
A_23_P119677	NM_001533
A_23_P205216	NM_006649
A_23_P388812	NM_152515
A_32_P130083	THC2701403
A_32_P218143	THC2627432
A_24_P125434	NM_032243
A_24_P876734	BC062792
A_23_P12463	NM_002826
A_23_P104762	NM_006106
A_23_P169949	A_23_P169949
A_23_P145264	NM_018950
A_23_P127627	NM_003646
A_23_P67971	NM_138801
A_32_P159334	A_32_P159334
A_23_P164927	NM_012451
A_32_P218131	A_32_P218131
A_23_P96611	NM_016383
A_23_P169944	AF028840
A_32_P79041	BQ897248
A_24_P409816	XR_019243
A_23_P338505	NM_152266
A_23_P37497	U14391
A_23_P502627	NM_007156
A_24_P772436	BC042946
A_24_P922252	AK022348
A_24_P270890	NM_001007226
A_23_P416011	NM_058203
A_23_P127652	NM_003455
A_23_P119611	NM_022006
A_24_P566872	AK001097
A_23_P164912	NM_022165
A_23_P7732	NM_004365
A_23_P103812	NM_199051
A_23_P141055	NM_015927
A_24_P152855	A_24_P152855
A_23_P164918	NM_001080434
A_23_P385690	NM_033131
A_23_P155796	NM_000406
A_23_P131428	NM_012476
A_24_P376902	NM_138468
A_24_P102151	AK000231
A_24_P486173	BX116846
A_24_P603453	XR_018783
A_24_P216313	NM_015966
A_24_P301146	NM_005358
A_23_P121773	NM_004477
A_23_P127642	NM_015313
A_32_P12647	BF923810
A_23_P164946	NM_024301
A_23_P103803	NM_052939
A_23_P164943	NM_018485
A_23_P169966	AJ295276
A_24_P209204	NM_030939
A_23_P155786	NM_005420
A_24_P679409	NM_005839
A_24_P102125	AF285120
A_24_P243086	NM_144635
A_24_P463989	THC2633081
A_23_P7719	A_23_P7719
A_23_P119634	NM_007000
A_23_P329361	NM_153603
A_32_P212095	ENST00000377209
A_32_P188860	NM_017563
A_23_P416036	NM_207107
A_23_P416034	NM_017518
A_23_P169934	NM_178314
A_32_P78250	NM_004965
A_24_P240732	NM_017813
A_23_P388851	NM_012330
A_23_P502612	NM_007040
A_24_P857430	U46752
A_24_P152491	ENST00000355788
A_24_P876772	BC032332
A_24_P753760	THC2563307
A_32_P360193	AK074178
A_23_P37424	NM_024063
A_23_P127662	NM_001002917
A_23_P127663	NM_024081
A_23_P169909	NM_004717
A_23_P164966	NM_134444
A_23_P9416	NM_002197
A_23_P7744	NM_031952
A_23_P431505	AB073660
A_32_P508098	AK096803
A_23_P377214	NM_144608
A_24_P152468	AK096229
A_24_P40827	NM_002878
A_24_P152881	XM_291077
A_23_P71480	NM_005218
A_23_P96658	ENST00000382832
A_24_P928415	BC032462
A_23_P58031	NM_004721
A_24_P857404	AK125482
A_23_P255076	NM_033411
A_23_P391938	AK023606
A_23_P28318	NM_018607
A_24_P401855	NM_004464
A_32_P206989	AK023412
A_23_P18798	NM_019119
A_23_P47396	THC2605277
A_32_P36835	THC2677499
A_24_P290263	XR_018269
A_23_P51639	NM_015284
A_23_P502678	NM_078473
A_23_P164958	NM_032040
A_24_P138784	NM_144677
A_24_P102119	AF264623
A_23_P155755	NM_002993
A_23_P119627	NM_015965
A_23_P431521	NM_021814
A_32_P55979	THC2692434
A_23_P64280	AY358681
A_23_P158083	NM_001261
A_24_P302685	NM_015320
A_32_P139302	AI287491
A_23_P27075	NM_007278
A_24_P37441	NM_002610
A_23_P363414	ENST00000368597
A_23_P28375	NM_178439
A_23_P342398	BC028195
A_32_P50087	BF195408
A_24_P126093	NM_152581
A_32_P191262	NM_001097
A_23_P103877	ENST00000376085
A_23_P7752	NM_020796
A_23_P27048	NM_152464
A_23_P96641	NM_002765
A_23_P342348	BC047869
A_32_P113146	THC2677118
A_23_P502654	NM_004169
A_23_P37469	NM_020660
A_23_P71492	NM_006158
A_23_P363406	NM_015305
A_23_P416048	AK024437
A_23_P28307	AL832534
A_24_P32790	NM_018566
A_23_P121716	NM_005139
A_24_P583225	BC053841
A_23_P103864	NM_024525
A_23_P431543	NM_182612
A_23_P214798	NM_006372
A_23_P47322	NM_017589
A_23_P369641	AF289596
A_23_P155765	NM_002129
A_32_P100610	THC2739211
A_23_P37410	NM_031226
A_23_P37415	NM_014701
A_32_P62963	BC110641
A_23_P119698	NM_016579
A_23_P164999	NM_004359
A_24_P333293	NM_016575
A_24_P676566	A_24_P676566
A_24_P391991	AK124132
A_23_P161297	NM_018245
A_23_P214789	NM_016224
A_32_P50066	NM_001039580
A_24_P302695	NM_145212
A_23_P419714	NM_152322
A_23_P103897	NM_001081472
A_23_P51679	NM_005920
A_23_P407497	NM_013959
A_23_P155711	NM_018248
A_24_P715104	A_24_P715104
A_23_P37445	NM_001003
A_32_P126485	BC047032
A_23_P431569	ENST00000318291
A_24_P922288	NM_001017395
A_23_P309515	NM_152387
A_32_P233304	NM_173083
A_24_P404033	NM_182616
A_24_P327181	NM_032387
A_32_P113154	XR_015591
A_23_P356717	NM_181670
A_23_P103885	NM_017900
A_24_P37409	NM_004418
A_24_P209285	NM_018141
A_24_P82142	NM_207038
A_23_P155700	NM_005255
A_23_P37475	NM_030800
A_24_P647507	CR739597
A_32_P208076	NM_002203
A_24_P247106	NM_016282
A_24_P868905	XR_018907
A_24_P380536	NM_006016
A_24_P7934	ENST00000332101
A_23_P156087	NM_000163
A_23_P96688	NM_016028
A_24_P38347	NM_001386
A_23_P64232	NM_003904
A_32_P459423	AF267862
A_23_P155733	NM_147182
A_32_P213509	THC2663555
A_24_P941708	NM_001042417
A_23_P72643	NM_003816
A_24_P391987	NM_001001701
A_24_P277875	NM_004067
A_23_P119683	NM_017550
A_23_P161269	NM_018590
A_32_P113173	AF131841
A_23_P356731	NM_152509
A_23_P363472	ENST00000377116
A_23_P37455	ENST00000356186
A_24_P680779	AK054806
A_24_P373726	NM_152475
A_24_P57047	NM_203486
A_24_P38363	NM_002467
A_23_P28397	A_23_P28397
A_23_P87257	NM_022061
A_24_P725891	BC051311
A_23_P396867	NM_178582
A_24_P938508	AK022228
A_23_P64214	NM_004716
A_23_P315964	NM_173568
A_24_P399888	NM_001002876
A_24_P10137	NM_014059
A_24_P185516	THC2662610
A_32_P139351	THC2488083
A_23_P214739	NM_012160
A_24_P380567	NM_031468
A_24_P277855	AK000313
A_24_P583281	BC047940
A_24_P391960	XM_001131332
A_24_P212481	NM_024717
A_23_P22487	NM_013271
A_24_P344087	NM_005132
A_23_P419764	NM_173463
A_23_P47340	NM_020693
A_23_P419760	NM_006061
A_23_P64204	NM_004724
A_23_P315910	NM_145653
A_32_P92086	BE093050
A_24_P873263	NM_015355
A_24_P243044	THC2514496
A_23_P256384	NM_021144
A_32_P212058	NM_032898
A_32_P126410	AK000901
A_23_P386764	NM_020438
A_32_P50005	NM_001918
A_32_P118258	NM_000982
A_23_P396842	NM_152734
A_23_P47377	NM_016142
A_23_P214727	NM_030784
A_32_P171695	NM_001001732
A_23_P22473	NM_012280
A_23_P407472	NM_000539
A_24_P193570	NM_016284
A_23_P78268	NM_016080
A_23_P397635	NM_007131
A_24_P32715	A_24_P32715
A_23_P22460	NM_001167
A_23_P419786	NM_152605
A_32_P85344	THC2769342
A_23_P69362	NM_024661
A_24_P277807	NM_003795
A_23_P87216	NM_002394
A_24_P942469	AK129652
A_23_P69368	AK126941
A_24_P298587	AB196634
A_24_P391918	NM_173464
A_32_P168973	BC110641
A_32_P154139	A_32_P154139
A_23_P47357	NM_001028
A_24_P193509	NM_144600
A_32_P143793	BE858685
A_23_P321388	NM_153341
A_24_P160104	NM_018943
A_24_P141688	AK130583
A_23_P419795	NM_030962
A_24_P457628	THC2682808
A_23_P72252	A_23_P72252
A_32_P85379	BI869933
A_23_P214779	NM_007124
A_23_P396858	NM_031866
A_24_P89843	NM_032687
A_23_P64247	BC033000
A_24_P11142	ENST00000335817
A_23_P64243	NM_006760
A_24_P126060	NM_001356
A_24_P379765	NM_018221
A_23_P22444	NM_002621
A_24_P344045	NM_022571
A_23_P110686	NM_003714
A_24_P892353	AK022892
A_23_P214766	NM_006734
A_23_P396804	NM_198893
A_32_P447785	NM_182587
A_23_P396800	NM_173808
A_23_P104865	ENST00000355343
A_32_P58201	AK021570
A_24_P333234	AF274942
A_24_P174503	NM_000481
A_23_P22433	NM_006915
A_32_P76084	THC2668779
A_24_P941787	NM_003913
A_23_P69372	AK126941
A_32_P126467	BC031698
A_24_P921321	BC019824
A_23_P214756	NM_020455
A_24_P81514	NM_006413
A_23_P11295	NM_014221
A_23_P397671	NM_000651
A_32_P154121	THC2740111
A_23_P396832	AK027257
A_23_P104876	NM_017425
A_24_P66592	NM_173515
A_32_P76091	NM_002156
A_23_P22422	NM_013364
A_24_P365365	NM_003200
A_23_P69326	NM_183393
A_24_P108738	NM_153334
A_23_P69329	NM_007312
A_23_P214743	NM_005068
A_23_P156025	ENST00000302057
A_23_P104845	NM_000741
A_24_P344053	NM_015556
A_24_P45481	NM_005465
A_23_P371876	NM_138775
A_24_P174563	NM_025196
A_32_P174874	DQ287932
A_32_P85330	NM_175898
A_24_P942454	NM_176877
A_23_P164468	NM_014913
A_24_P460309	THC2657647
A_24_P934245	AK092801
A_23_P156010	NM_018932
A_23_P396818	NM_139285
A_23_P16423	AL390151
A_23_P131596	NM_032319
A_23_P156017	NM_022130
A_23_P104853	AF143331
A_23_P110699	NM_052860
A_24_P365349	THC2724078
A_23_P127596	BC006134
A_24_P826690	A_24_P826690
A_24_P379727	NM_032309
A_24_P942404	THC2532971
A_23_P315991	NM_178168
A_24_P394420	NM_022754
A_24_P157415	NM_014616
A_32_P23209	THC2646402
A_23_P156049	NM_000521
A_32_P62983	A_32_P62983
A_23_P349463	NM_022097
A_24_P141629	NM_022074
A_24_P38387	NM_006096
A_23_P110643	NM_016508
A_23_P131588	NM_014482
A_24_P409760	XR_018461
A_24_P239902	AK001632
A_23_P7483	NM_018429
A_24_P701776	NM_001003702
A_24_P169462	NM_004871
A_23_P72235	AF043725
A_32_P62997	NM_018492
A_23_P69339	NM_001607
A_24_P892367	AK025037
A_23_P256334	NM_181501
A_24_P98263	NM_004215
A_23_P371861	NM_173538
A_23_P320304	NM_201252
A_23_P371865	NM_152342
A_24_P365327	NM_015578
A_32_P54346	AL137709
A_32_P11593	THC2677594
A_24_P108779	NM_024681
A_24_P394408	NM_014423
A_24_P193582	NM_017702
A_23_P156061	NM_005575
A_23_P110661	NM_015360
A_23_P371835	NM_080473
A_23_P71948	NM_030767
A_32_P195793	THC2559650
A_23_P127584	NM_006169
A_24_P801381	THC2650828
A_32_P137075	BX281073
A_32_P76025	THC2765833
A_23_P69310	NM_003965
A_23_P164427	NM_024052
A_24_P357950	NM_001005359
A_23_P303810	NM_153605
A_24_P72139	NM_004536
A_23_P10291	NM_001910
A_24_P335656	NM_003004
A_23_P110655	AF116688
A_23_P416191	NM_176885
A_24_P340976	XR_018155
A_32_P11579	AV707343
A_24_P174550	NM_001664
A_23_P104819	NM_007180
A_23_P83953	S80864
A_23_P385114	NM_023929
A_32_P159400	NM_015902
A_32_P76035	CR749867
A_23_P164436	NM_000049
A_23_P110606	NM_014757
A_23_P303210	NM_153687
A_24_P66528	NM_003133
A_24_P98277	NM_001002296
A_24_P858232	THC2738359
A_23_P381261	NM_139247
A_24_P66522	NM_014984
A_24_P340941	XR_018027
A_23_P169887	NM_001521
A_32_P206497	AK090684
A_24_P221724	A_24_P221724
A_23_P156076	NM_031900
A_23_P71972	NM_016373
A_23_P371824	NM_020127
A_23_P303203	NM_152272
A_24_P340954	AK027233
A_23_P127533	NM_032299
A_32_P116323	NM_015092
A_24_P657117	BX091232
A_24_P879135	BQ015140
A_23_P71904	NM_014064
A_23_P303238	NM_173858
A_32_P86400	NM_198273
A_24_P335620	NM_003486
A_23_P110624	NM_001332
A_23_P435394	NM_000958
A_24_P307869	NM_001015002
A_23_P37785	ENST00000304372
A_23_P131566	NM_014746
A_24_P66548	ENST00000275546
A_23_P71908	NM_001039697
A_32_P122373	NR_002729
A_24_P240487	NM_000301
A_23_P135787	BX537520
A_32_P197109	AI559980
A_24_P169402	ENST00000295941
A_23_P385105	NM_032726
A_32_P76060	NM_016396
A_24_P627678	A_24_P627678
A_24_P108784	NM_006941
A_24_P753638	A_24_P753638
A_24_P357914	ENST00000307198
A_24_P357916	AK023228
A_23_P131518	CR619192
A_24_P72178	NM_145727
A_23_P110611	NM_017676
A_23_P303851	NM_176886
A_23_P78289	NM_032837
A_32_P116303	A_32_P116303
A_23_P119753	NM_015252
A_23_P348524	NM_001007125
A_32_P159445	NM_015075
A_24_P942481	NM_180989
A_23_P69383	NM_031458
A_32_P183918	BC025340
A_23_P96325	NM_001009954
A_32_P222961	NM_001012968
A_23_P303251	NM_173495
A_23_P131502	NM_153712
A_23_P71928	NM_005489
A_23_P23996	NM_000429
A_23_P32233	NM_004235
A_23_P18413	NM_016589
A_23_P385126	NM_139160
A_24_P392910	A_24_P392910
A_24_P944320	NM_213605
A_23_P7402	NM_178140
A_32_P229760	NM_001568
A_32_P3408	THC2706902
