ProbeID	PrimaryAccession
A_24_P218688	NM_000694
A_32_P125338	NM_207334
A_24_P15841	A_24_P15841
A_32_P32716	THC2651140
A_23_P143446	NM_017446
A_24_P454931	THC2701341
A_23_P406889	NM_012388
A_23_P304054	ENST00000269499
A_23_P135948	THC2736113
A_24_P25346	NM_032830
A_23_P392928	NM_178562
A_23_P98431	NM_000190
A_24_P67142	NM_032195
A_24_P677642	AK056375
A_24_P930391	AK022351
A_24_P878561	A_24_P878561
A_32_P185766	BX103476
A_24_P15898	BC027909
A_23_P346265	NM_024312
A_23_P162378	NM_016122
A_32_P140454	AF085902
A_23_P135977	NM_001008938
A_23_P143474	NM_001697
A_32_P81657	BX537510
A_32_P139021	A_32_P139021
A_23_P88831	NM_003983
A_23_P162374	NM_024072
A_23_P105276	NM_003428
A_23_P98446	NM_001024956
A_23_P6293	NM_018961
A_23_P210210	NM_001430
A_32_P420214	BC034792
A_32_P175580	BC001697
A_32_P15958	AK055167
A_32_P224525	AL713792
A_24_P28619	NM_144567
A_23_P53623	NM_002560
A_23_P408708	NM_004331
A_23_P413184	NM_173829
A_23_P413180	NM_017440
A_23_P105264	NM_001987
A_23_P98410	NM_000073
A_32_P46981	BC017654
A_23_P26890	NM_024302
A_23_P210224	ENST00000380438
A_24_P747419	CV570707
A_23_P343963	NM_138435
A_23_P135914	NM_012426
A_24_P750070	AF100640
A_32_P81676	AL832535
A_23_P321703	NM_004049
A_32_P122323	NM_206908
A_23_P304000	NM_015026
A_24_P377499	NM_015550
A_24_P925993	CD370114
A_24_P938213	ENST00000339980
A_23_P105212	NM_003251
A_23_P210274	NM_015387
A_23_P349147	ENST00000305423
A_32_P221000	AK094154
A_24_P340128	NM_178129
A_23_P6272	NM_015259
A_24_P715644	BC035363
A_32_P219460	AK130896
A_23_P53603	NM_001681
A_32_P107454	A_32_P107454
A_24_P121956	NM_173804
A_23_P8185	NM_006519
A_23_P425826	NM_203462
A_32_P196263	NM_182920
A_23_P338890	NM_002827
A_23_P3496	NM_080861
A_24_P377489	NM_015622
A_32_P66222	NM_001012421
A_24_P33477	NM_004389
A_24_P67100	XR_017294
A_24_P273303	XR_019523
A_23_P6263	NM_002463
A_23_P392962	NM_006613
A_24_P521409	BC036033
A_23_P100386	NM_152456
A_32_P112493	NM_138370
A_23_P114232	NM_006406
A_32_P505133	NM_178830
A_23_P53630	NM_014868
A_23_P98645	NM_003737
A_23_P162336	NM_014515
A_23_P76136	AY358804
A_23_P98402	NM_001040455
A_32_P49392	A_32_P49392
A_23_P83923	NM_024836
A_23_P6252	AJ783421
A_24_P28657	NM_015446
A_32_P224566	NM_001004317
A_32_P75284	NM_032116
A_23_P23960	NM_001001342
A_23_P135926	A_23_P135926
A_24_P82186	BC063836
A_23_P98616	NM_153277
A_24_P563966	AL117454
A_24_P354523	CD241953
A_23_P105227	NM_001014811
A_32_P81669	THC2752562
A_23_P15067	NM_138769
A_24_P696470	NM_203309
A_24_P896032	THC2542952
A_24_P269101	NM_006161
A_24_P792078	AA827683
A_32_P139079	NM_015640
A_24_P366495	ENST00000311040
A_23_P137209	NM_003334
A_24_P640341	AA767131
A_24_P340112	THC2683124
A_24_P929650	A_24_P929650
A_24_P340116	NM_021806
A_23_P34396	NM_020317
A_23_P15090	NM_005880
A_23_P53614	NM_006768
A_24_P677639	NM_001005751
A_32_P196233	THC2730125
A_24_P677634	NR_002933
A_23_P413150	NM_015995
A_23_P54622	NM_007317
A_23_P413157	NM_152761
A_23_P100392	NM_007108
A_23_P23947	NM_005204
A_32_P205241	NM_021954
A_23_P76109	NM_145058
A_23_P23941	NM_001007094
A_32_P175567	CA436590
A_23_P76102	NM_005811
A_23_P34382	NM_004921
A_23_P53641	NM_001025356
A_32_P172698	A_32_P172698
A_23_P83939	NM_032796
A_32_P24068	THC2710780
A_23_P408768	NM_032482
A_23_P83931	NM_005863
A_32_P66261	AA282192
