Probe Set ID	UniGene ID
1416108_a_at	Mm.27606
1416109_at	---
1416110_at	Mm.273350
1416111_at	Mm.57175
1416112_at	Mm.14022
1416113_at	Mm.141864
1416114_at	Mm.29027
1416115_at	Mm.399624
1416116_at	Mm.399624
1416117_at	Mm.399624
1416118_at	Mm.176695
1416119_at	Mm.260618
1416120_at	Mm.99
1416121_at	Mm.172
1416122_at	Mm.333406
1416123_at	Mm.333406
1416124_at	Mm.333406
1416125_at	Mm.276405
1416126_at	Mm.259078
1416127_a_at	Mm.24680
1416128_at	Mm.88212
1416129_at	Mm.318841
1416130_at	Mm.648
1416131_s_at	Mm.260647
1416132_at	Mm.260647
1416133_at	Mm.260647
1416134_at	Mm.2381
1416135_at	Mm.203
1416136_at	Mm.29564
1416137_at	Mm.280231
1416138_at	Mm.280231
1416139_at	Mm.46360
1416140_a_at	Mm.276305
1416141_a_at	Mm.379007
1416142_at	Mm.379007
1416143_at	Mm.353
1416144_a_at	Mm.993
1416145_at	Mm.993
1416146_at	Mm.239865
1416147_at	Mm.239865
1416148_at	Mm.197518
1416149_at	Mm.39300
1416150_a_at	Mm.6787
1416151_at	Mm.6787
1416152_a_at	Mm.6787
1416153_at	Mm.12848
1416154_at	Mm.12848
1416155_at	Mm.336087
1416156_at	Mm.279361
1416157_at	Mm.279361
1416158_at	Mm.158143
1416159_at	Mm.158143
1416160_at	Mm.158143
1416161_at	Mm.182628
1416162_at	Mm.182628
1416163_at	Mm.957
1416164_at	Mm.288381
1416165_at	Mm.29274
1416166_a_at	Mm.247542
1416167_at	Mm.247542
1416168_at	Mm.2044
1416169_at	Mm.443229
1416170_at	Mm.123366
1416171_at	Mm.296240
1416172_at	Mm.28659
1416173_at	Mm.28659
1416174_at	Mm.440564
1416175_a_at	Mm.227704
1416176_at	Mm.207047
1416177_at	Mm.24718
1416178_a_at	Mm.26633
1416179_a_at	Mm.245746
1416180_a_at	Mm.245746
1416181_at	Mm.117365
1416182_at	Mm.391560
1416183_a_at	Mm.9745
1416184_s_at	Mm.4438
1416185_a_at	Mm.3874
1416186_at	Mm.29159
1416187_s_at	Mm.29159
1416188_at	Mm.287807
1416189_a_at	Mm.28375
1416190_a_at	Mm.28375
1416191_at	Mm.28375
1416192_at	Mm.104540
1416193_at	Mm.273195
1416194_at	Mm.1840
1416195_at	Mm.1458
1416196_at	Mm.4071
1416197_at	Mm.308514
1416198_at	Mm.271709
1416199_at	Mm.378951
