ProbeID	TargetID
A_51_P433540	NM_001008233
A_52_P636446	NM_001008233
A_52_P575719	NM_001008420
A_52_P475854	NM_001008421
A_52_P79038	NM_001008422
A_52_P569998	NM_001008424
A_52_P631568	NM_001008425
A_52_P168921	NM_001008427
A_52_P235102	NM_001008427
A_52_P340133	NM_001008427
A_51_P438461	NM_001008498
A_52_P334796	NM_001008499
A_52_P92398	NM_001008502
A_51_P188845	NM_001008533
A_52_P661412	NM_001008533
A_52_P172272	NM_001008533
A_52_P299292	NM_001008546
A_52_P300431	NM_001008547
A_51_P120024	NM_001008548
A_52_P502828	NM_001008548
A_52_P104169	NM_001008549
A_52_P497470	NM_001008550
A_52_P566390	NM_001008550
A_51_P464478	NM_001008700
A_52_P227059	NM_001008705
A_52_P329414	NM_001008706
A_52_P374157	NM_001008785
A_51_P303620	NM_001008791
A_52_P378959	NM_001008973
A_52_P382133	NM_001009544
A_51_P234233	NM_001009545
A_52_P626357	NM_001009549
A_51_P512205	NM_001009573
A_52_P114282	NM_001009575
A_52_P232470	NM_001009927
A_51_P142703	NM_001009940
A_52_P638732	NM_001009947
A_51_P173735	NM_001009947
A_52_P169901	NM_001009949
A_52_P269445	NM_001009950
A_52_P576837	NM_001009951
A_51_P491627	NM_001009952
A_51_P270436	NM_001010825
A_52_P54812	NM_001010826
A_52_P353631	NM_001010831
A_52_P460148	NM_001010836
A_52_P138046	NM_001010836
A_52_P342896	NM_001010930
A_51_P467438	NM_001011517
A_51_P313127	NM_001011518
A_51_P516119	NM_001011519
A_51_P476454	NM_001011528
A_51_P480588	NM_001011535
A_51_P515664	NM_001011542
A_51_P248395	NM_001011662
A_51_P471126	NM_001011707
A_52_P205603	NM_001011733
A_51_P377537	NM_001011735
A_51_P199447	NM_001011738
A_51_P266876	NM_001011740
A_52_P91019	NM_001011741
A_51_P433753	NM_001011748
A_51_P477972	NM_001011756
A_51_P413216	NM_001011758
A_51_P458707	NM_001011767
A_51_P358122	NM_001011770
A_52_P232438	NM_001011775
A_51_P257712	NM_001011783
A_52_P316368	NM_001011785
A_51_P362553	NM_001011787
A_51_P362554	NM_001011787
A_51_P120975	NM_001011791
A_51_P190721	NM_001011793
A_52_P142116	NM_001011797
A_52_P530246	NM_001011797
A_51_P426047	NM_001011797
A_51_P105000	NM_001011800
A_51_P285731	NM_001011803
A_51_P237106	NM_001011804
A_51_P147188	NM_001011810
A_51_P171510	NM_001011811
A_51_P438781	NM_001011813
A_52_P438919	NM_001011814
A_52_P157355	NM_001011815
A_51_P115376	NM_001011816
A_51_P140966	NM_001011820
A_51_P316233	NM_001011824
A_52_P202737	NM_001011826
A_51_P471229	NM_001011828
A_51_P184648	NM_001011829
A_52_P546699	NM_001011831
A_51_P353569	NM_001011837
A_51_P222115	NM_001011840
A_51_P192203	NM_001011847
A_51_P184681	NM_001011848
A_51_P467511	NM_001011857
A_51_P312024	NM_001011860
A_51_P381329	NM_001011863
A_51_P126620	NM_001011865
A_52_P463154	NM_001011866
A_51_P435688	NM_001011868
A_51_P450505	NM_001012266
A_52_P432963	NM_001012305
A_52_P459818	NM_001012306
A_52_P476535	NM_001012307
A_51_P131168	NM_001012309
A_52_P540488	NM_001012309
A_52_P309044	NM_001012309
A_52_P662244	NM_001012310
A_52_P322639	NM_001012322
A_52_P103101	NM_001012324
A_52_P578085	NM_001012325
A_51_P322022	NM_001012401
A_52_P84487	NM_001012450
A_51_P410900	NM_001012517
A_52_P239912	NM_001012640
A_52_P95740	NM_001012667
A_52_P651469	NM_001012726
A_52_P449208	NM_001012765
A_51_P199041	NM_001012765
A_51_P481676	NM_001013012
A_52_P290926	NM_001013013
A_52_P453374	NM_001013019
A_51_P422369	NM_001013022
A_51_P104077	NM_001013024
A_51_P343851	NM_001013025
A_51_P127635	NM_001013026
A_52_P545643	NM_001013028
A_51_P291361	NM_001013365
A_52_P348614	NM_001013365
A_52_P900402	NM_001013366
A_51_P158922	NM_001013367
A_52_P173344	NM_001013367
A_51_P431531	NM_001013368
A_51_P423791	NM_001013369
A_51_P233954	NM_001013370
A_52_P53596	NM_001013370
A_51_P266644	NM_001013370
A_51_P472120	NM_001013373
A_51_P231920	NM_001013374
A_52_P663149	NM_001013375
A_51_P177118	NM_001013375
A_51_P506674	NM_001013376
A_52_P27878	NM_001013377
A_52_P143671	NM_001013377
A_51_P270666	NM_001013378
A_51_P517120	NM_001013379
A_51_P352140	NM_001013380
A_51_P350222	NM_001013380
A_52_P654108	NM_001013380
A_51_P514913	NM_001013381
A_52_P529660	NM_001013382
A_52_P663704	NM_001013384
A_52_P565567	NM_001013385
A_52_P234522	NM_001013386
A_51_P443693	NM_001013386
A_52_P618187	NM_001013389
A_52_P645159	NM_001013391
A_52_P305740	NM_001013392
A_51_P329512	NM_001013392
A_52_P390685	NM_001013393
A_52_P382212	NM_001013405
A_51_P376407	NM_001013405
A_52_P41520	NM_001013411
A_51_P211822	NM_001013414
A_52_P139716	NM_001013575
A_51_P263934	NM_001013577
A_52_P99470	NM_001013577
A_52_P391660	NM_001013578
A_52_P633612	NM_001013580
A_52_P224323	NM_001013581
A_52_P265578	NM_001013607
A_52_P364325	NM_001013608
A_51_P118727	NM_001013608
A_52_P85774	NM_001013616
A_52_P199019	NM_001013616
A_52_P199024	NM_001013616
A_52_P199023	NM_001013616
A_51_P352743	NM_001013616
A_52_P534810	NM_001013750
A_52_P111031	NM_001013753
A_51_P436491	NM_001013758
A_52_P130423	NM_001013760
A_52_P302671	NM_001013765
A_52_P363843	NM_001013765
A_51_P137293	NM_001013766
A_52_P508131	NM_001013767
A_51_P132081	NM_001013769
A_52_P455045	NM_001013769
A_52_P476454	NM_001013770
A_52_P136348	NM_001013773
A_52_P152030	NM_001013776
A_51_P164927	NM_001013779
A_52_P191633	NM_001013783
A_51_P180213	NM_001013785
A_51_P111335	NM_001013785
A_52_P884458	NM_001013788
A_51_P320539	NM_001013792
A_51_P432607	NM_001013797
A_52_P81038	NM_001013799
A_52_P1035965	NM_001013804
A_52_P449629	NM_001013806
A_52_P26386	NM_001013808
A_51_P198684	NM_001013810
A_52_P168575	NM_001013811
A_51_P145596	NM_001013816
A_52_P369780	NM_001013816
A_51_P172424	NM_001013823
A_52_P2540	NM_001013824
A_51_P514161	NM_001013824
A_52_P372400	NM_001013825
A_52_P268231	NM_001013825
A_51_P124895	NM_001013826
A_52_P68735	NM_001013829
A_52_P461105	NM_001013832
A_52_P605266	NM_001014288
A_52_P23674	NM_001014394
A_52_P402165	NM_001014397
A_51_P212741	NM_001014761
A_52_P18937	NM_001014836
A_52_P622225	NM_001014900
A_51_P309084	NM_001014900
A_52_P912686	NM_001014900
A_52_P392721	NM_001014973
A_52_P686344	NM_001014974
A_51_P106443	NM_001014974
A_52_P658437	NM_001014976
A_52_P77695	NM_001014995
A_51_P372522	NM_001014995
A_51_P174434	NM_001014996
A_51_P510567	NM_001015039
A_52_P39756	NM_001015046
A_51_P297799	NM_001015046
A_51_P461716	NM_001015099
A_52_P3698	NM_001015099
A_52_P414267	NM_001015507
A_52_P177593	NM_001015507
A_51_P109541	NM_001015681
A_51_P472588	NM_001015876
A_51_P122017	NM_001017426
A_51_P296361	NM_001017429
A_52_P378493	NM_001017433
A_51_P519536	NM_001017959
A_52_P261843	NM_001017968
A_52_P62833	NM_001017983
A_52_P9777	NM_001017985
A_52_P564951	NM_001017985
A_51_P486350	NM_001018013
A_51_P112662	NM_001018042
A_52_P522264	NM_001018042
A_52_P40244	NM_001018079
A_52_P74637	NM_001018086
A_52_P426062	NM_001018086
A_51_P122707	NM_001018087
A_52_P233342	NM_001024134
A_52_P442852	NM_001024135
A_52_P443952	NM_001024135
A_52_P80007	NM_001024138
A_52_P508143	NM_001024138
A_51_P311038	NM_001024139
A_52_P476086	NM_001024141
A_52_P585907	NM_001024145
A_52_P289727	NM_001024205
A_52_P243054	NM_001024205
A_51_P342466	NM_001024205
A_52_P298867	NM_001024206
A_52_P176865	NM_001024230
A_52_P507537	NM_001024468
A_52_P15197	NM_001024504
A_51_P449450	NM_001024504
A_52_P331523	NM_001024508
A_52_P9260	NM_001024512
A_52_P242445	NM_001024512
A_52_P555752	NM_001024512
A_52_P608132	NM_001024560
A_52_P446625	NM_001024602
A_52_P418515	NM_001024614
A_51_P520412	NM_001024616
A_52_P330289	NM_001024617
A_52_P744179	NM_001024618
A_52_P343905	NM_001024618
A_52_P244109	NM_001024618
A_52_P85829	NM_001024619
A_51_P219483	NM_001024619
A_51_P210877	NM_001024622
A_52_P219549	NM_001024624
A_51_P350472	NM_001024624
A_52_P328365	NM_001024645
A_52_P320261	NM_001024698
A_52_P253748	NM_001024699
A_51_P281824	NM_001024705
A_52_P355751	NM_001024712
A_51_P441999	NM_001024726
A_52_P607586	NM_001024726
A_52_P604321	NM_001024727
A_52_P585764	NM_001024729
A_52_P109403	NM_001024806
A_52_P346098	NM_001024806
A_51_P412736	NM_001024806
A_52_P533350	NM_001024806
A_52_P310652	NM_001024825
A_52_P532899	NM_001024825
A_52_P592828	NM_001024840
A_52_P614320	NM_001024841
A_51_P469494	NM_001024846
A_52_P283378	NM_001024849
A_52_P520429	NM_001024849
A_51_P283292	NM_001024849
A_52_P262462	NM_001024851
A_51_P184398	NM_001024856
A_52_P401143	NM_001024856
A_51_P292490	NM_001024856
A_52_P663585	NM_001024910
A_52_P93488	NM_001024911
A_51_P238852	NM_001024917
A_52_P573174	NM_001024917
A_51_P496309	NM_001024918
A_51_P317272	NM_001024919
A_52_P35164	NM_001024920
A_52_P159885	NM_001024922
A_52_P532957	NM_001024928
A_52_P79506	NM_001024928
A_52_P674067	NM_001024931
A_52_P667932	NM_001024932
A_52_P488779	NM_001024932
A_51_P492850	NM_001024950
A_52_P475886	NM_001024952
A_51_P428773	NM_001024954
A_51_P428781	NM_001024954
A_52_P235476	NM_001024955
A_52_P228491	NM_001025067
A_52_P577338	NM_001025067
A_51_P393454	NM_001025074
A_52_P272547	NM_001025093
A_51_P388872	NM_001025093
A_52_P570006	NM_001025102
A_52_P552879	NM_001025103
A_51_P494446	NM_001025106
A_51_P124719	NM_001025156
A_52_P244736	NM_001025192
A_52_P604195	NM_001025245
A_51_P414079	NM_001025246
A_52_P172563	NM_001025296
A_52_P586539	NM_001025296
A_52_P352771	NM_001025305
A_52_P526379	NM_001025307
A_52_P420712	NM_001025309
A_51_P304500	NM_001025313
A_51_P248609	NM_001025365
A_51_P350962	NM_001025371
A_51_P170463	NM_001025381
A_51_P437302	NM_001025381
A_52_P166292	NM_001025384
A_51_P251737	NM_001025384
A_51_P379443	NM_001025392
A_52_P239850	NM_001025432
A_52_P682557	NM_001025435
A_52_P428745	NM_001025439
A_52_P627727	NM_001025564
A_52_P329367	NM_001025566
A_52_P208222	NM_001025568
A_51_P230722	NM_001025572
A_52_P57719	NM_001025572
A_52_P79187	NM_001025572
A_51_P134801	NM_001025572
A_52_P796840	NM_001025575
A_51_P132170	NM_001025576
A_52_P661587	NM_001025576
A_51_P379230	NM_001025577
A_51_P405167	NM_001025577
A_51_P507333	NM_001025581
A_52_P273559	NM_001025581
A_52_P545132	NM_001025581
A_51_P314153	NM_001025586
A_51_P349532	NM_001025599
A_52_P353038	NM_001025599
A_52_P353031	NM_001025599
A_52_P484194	NM_001025602
A_52_P288750	NM_001025605
A_52_P799815	NM_001025606
A_52_P456007	NM_001025607
A_51_P394585	NM_001025612
A_52_P623738	NM_001025613
A_51_P326709	NM_001025613
A_52_P266916	NM_001025613
A_51_P145376	NM_001025613
A_51_P513600	NM_001026212
A_52_P598895	NM_001029836
A_52_P6442	NM_001029838
A_52_P513177	NM_001029841
A_52_P579933	NM_001029842
A_52_P557496	NM_001029856
A_52_P27918	NM_001029856
A_52_P137572	NM_001029868
A_52_P270461	NM_001029868
A_52_P484118	NM_001029876
A_52_P706060	NM_001029890
A_52_P47432	NM_001029912
A_52_P513345	NM_001029912
A_51_P108020	NM_001029929
A_51_P279888	NM_001029933
A_51_P341871	NM_001029934
A_51_P153982	NM_001029936
A_51_P455008	NM_001029936
A_51_P243122	NM_001029937
A_52_P339204	NM_001029937
A_52_P175518	NM_001029938
A_51_P349776	NM_001029978
A_51_P332559	NM_001029979
A_52_P117029	NM_001029979
A_51_P283639	NM_001029982
A_51_P477440	NM_001029982
A_51_P247894	NM_001029983
A_52_P360652	NM_001029985
A_52_P172838	NM_001029988
A_51_P465273	NM_001029990
A_51_P121359	NM_001029994
A_51_P314855	NM_001030014
A_51_P214916	NM_001030274
A_52_P316396	NM_001030291
A_51_P476127	NM_001030293
A_52_P607507	NM_001030294
A_52_P828218	NM_001030294
A_52_P89767	NM_001030305
A_52_P44061	NM_001030306
A_52_P44054	NM_001030306
A_51_P469633	NM_001030307
A_52_P406828	NM_001030307
A_52_P30728	NM_001031621
A_52_P573898	NM_001031622
A_52_P286528	NM_001031664
A_51_P437279	NM_001031667
A_52_P532355	NM_001031772
A_52_P676861	NM_001031772
A_51_P338377	NM_001031808
A_52_P209172	NM_001031808
A_51_P173224	NM_001031811
A_52_P171791	NM_001031814
A_51_P457171	NM_001031814
A_51_P371695	NM_001031814
A_52_P466641	NM_001031814
A_51_P384248	NM_001031814
A_51_P310088	NM_001031814
A_52_P113817	NM_001031851
A_52_P1004509	NM_001033001
A_51_P479352	NM_001033039
A_52_P603421	NM_001033040
A_51_P399873	NM_001033041
A_51_P181286	NM_001033122
A_51_P229664	NM_001033126
A_52_P702887	NM_001033131
A_51_P146223	NM_001033131
A_52_P446120	NM_001033132
A_52_P539361	NM_001033134
A_52_P128283	NM_001033135
A_51_P186161	NM_001033135
A_51_P233027	NM_001033136
A_52_P333749	NM_001033136
A_52_P333806	NM_001033136
A_51_P338728	NM_001033140
A_52_P1026777	NM_001033141
A_51_P342535	NM_001033142
A_52_P394291	NM_001033145
A_52_P641195	NM_001033148
A_52_P21	NM_001033149
A_52_P343381	NM_001033151
A_52_P297270	NM_001033156
A_51_P261324	NM_001033156
A_52_P603740	NM_001033156
A_51_P137778	NM_001033157
A_51_P161131	NM_001033157
A_51_P105927	NM_001033158
A_51_P149842	NM_001033159
A_51_P288505	NM_001033161
A_51_P266077	NM_001033162
A_51_P178114	NM_001033163
A_52_P684130	NM_001033164
A_52_P445382	NM_001033165
A_51_P433843	NM_001033167
A_51_P433837	NM_001033167
A_51_P258806	NM_001033171
A_51_P143023	NM_001033172
A_51_P393768	NM_001033174
A_52_P163939	NM_001033175
A_51_P257175	NM_001033177
A_52_P503927	NM_001033178
A_52_P1072877	NM_001033184
A_52_P480431	NM_001033186
A_52_P68175	NM_001033189
A_51_P282297	NM_001033191
A_52_P632093	NM_001033194
A_51_P144438	NM_001033196
A_51_P134993	NM_001033199
A_52_P95161	NM_001033199
A_51_P328669	NM_001033201
A_52_P510852	NM_001033201
A_52_P179272	NM_001033202
A_51_P168792	NM_001033209
A_52_P444946	NM_001033212
A_51_P251964	NM_001033214
A_52_P494564	NM_001033214
A_52_P503104	NM_001033215
A_51_P385370	NM_001033217
A_52_P503849	NM_001033217
A_52_P159429	NM_001033220
A_52_P205473	NM_001033221
A_52_P263474	NM_001033222
A_52_P619820	NM_001033225
A_51_P498475	NM_001033226
A_51_P509961	NM_001033227
A_52_P518922	NM_001033228
A_52_P459929	NM_001033228
A_51_P176138	NM_001033231
A_52_P127206	NM_001033234
A_52_P608755	NM_001033236
A_52_P282987	NM_001033237
A_52_P686716	NM_001033239
A_52_P604926	NM_001033240
A_51_P320888	NM_001033242
A_51_P230537	NM_001033243
A_52_P556462	NM_001033244
A_52_P586004	NM_001033245
A_52_P363316	NM_001033246
A_52_P517928	NM_001033250
A_52_P511306	NM_001033251
A_52_P426316	NM_001033252
A_52_P979001	NM_001033252
A_52_P285975	NM_001033253
A_52_P661159	NM_001033255
A_51_P275407	NM_001033257
A_52_P49042	NM_001033258
A_51_P203720	NM_001033258
A_52_P512110	NM_001033259
A_52_P559485	NM_001033261
A_52_P559478	NM_001033261
A_52_P682960	NM_001033261
A_52_P79441	NM_001033261
A_52_P207635	NM_001033261
A_52_P122393	NM_001033261
A_51_P226794	NM_001033262
A_51_P488121	NM_001033263
A_52_P349912	NM_001033263
A_51_P169087	NM_001033264
A_52_P599789	NM_001033267
A_51_P387845	NM_001033268
A_52_P415365	NM_001033268
A_52_P108502	NM_001033270
A_52_P333902	NM_001033270
A_51_P279997	NM_001033270
A_52_P366105	NM_001033271
A_52_P422874	NM_001033273
A_52_P572702	NM_001033275
A_51_P470228	NM_001033277
A_51_P177432	NM_001033278
A_51_P397920	NM_001033279
A_52_P52263	NM_001033279
A_52_P351378	NM_001033280
A_52_P559076	NM_001033281
A_52_P100842	NM_001033283
A_52_P559557	NM_001033284
A_52_P883557	NM_001033286
A_51_P173445	NM_001033286
A_52_P22611	NM_001033288
A_52_P134003	NM_001033289
A_52_P382067	NM_001033290
A_51_P309740	NM_001033291
A_52_P149391	NM_001033291
A_52_P359441	NM_001033292
A_51_P509669	NM_001033293
A_51_P257558	NM_001033294
A_52_P156750	NM_001033296
A_52_P368855	NM_001033298
A_51_P404779	NM_001033299
A_52_P47255	NM_001033300
A_51_P505052	NM_001033300
A_51_P255805	NM_001033301
A_52_P63343	NM_001033302
A_52_P880457	NM_001033303
A_51_P182131	NM_001033304
A_52_P210338	NM_001033305
A_52_P665767	NM_001033310
A_52_P665768	NM_001033310
A_51_P175229	NM_001033312
A_51_P202430	NM_001033313
A_51_P285271	NM_001033314
A_52_P124526	NM_001033315
A_51_P212560	NM_001033318
A_51_P432779	NM_001033321
A_52_P544251	NM_001033325
A_52_P644534	NM_001033326
A_51_P102867	NM_001033326
A_52_P396511	NM_001033327
A_52_P379126	NM_001033329
A_51_P159565	NM_001033329
A_51_P212473	NM_001033332
A_52_P419678	NM_001033335
A_52_P419679	NM_001033335
A_51_P232597	NM_001033336
A_52_P630867	NM_001033336
A_51_P511680	NM_001033337
A_51_P187262	NM_001033339
A_52_P289274	NM_001033343
A_52_P486175	NM_001033344
A_51_P235088	NM_001033344
A_52_P395280	NM_001033346
A_51_P519040	NM_001033347
A_52_P277104	NM_001033350
A_51_P492165	NM_001033350
A_51_P477833	NM_001033352
A_52_P517247	NM_001033354
A_52_P588771	NM_001033356
A_52_P299958	NM_001033360
A_52_P137981	NM_001033361
A_52_P665119	NM_001033364
A_52_P218470	NM_001033364
A_52_P655136	NM_001033367
A_52_P647326	NM_001033369
A_52_P213516	NM_001033369
A_51_P474902	NM_001033369
A_52_P285615	NM_001033371
A_52_P172405	NM_001033375
A_51_P238659	NM_001033375
A_52_P558357	NM_001033379
A_52_P110541	NM_001033380
A_52_P504687	NM_001033383
A_51_P366290	NM_001033383
A_51_P268297	NM_001033389
A_52_P577329	NM_001033394
