Probe Set ID	Representative Public ID
100743_at	AA407663
100744_at	AA410078
100745_r_at	AA408156
100746_at	AA408891
100747_at	AA408954
100748_at	AA409010
100749_at	AA414976
100750_at	AA414903
100751_at	AF011379
100752_at	AF012271
100753_at	L01062
100754_at	X54989
100755_at	U04962
100756_r_at	M30774
100757_at	L20343
100758_at	AF110520
100759_at	U56734
100760_at	X97986
100761_at	AJ223777
100762_at	AF030430
100763_at	C77022
100764_at	M28052
100765_at	AI592747
100766_at	U32330
100767_at	C80936
100768_at	C77307
100769_at	AU045946
100771_at	AF068182
100772_g_at	AF068182
100773_at	M86672
100774_at	AI851233
100775_at	C81070
100776_at	AI117463
100778_at	L11332
100779_at	M86671
100780_at	M73436
100828_at	AI648850
100839_at	AI327166
100876_at	AI841076
100877_at	AI194274
100878_at	AW124985
100879_at	AF093775
100880_at	AA816121
100882_at	AF003525
100883_at	AI877468
100884_at	U04204
100885_at	AF013166
100886_f_at	AI841415
100887_at	AI838562
100888_at	AB015790
100889_at	AI838576
100890_at	AI173038
100891_at	M88463
100892_at	AI850186
100893_at	U27455
100894_at	AJ007360
100895_at	AW049497
100896_at	AJ006306
100897_f_at	AF100956
100898_r_at	AF100956
100899_s_at	AI265210
100900_at	AW209053
100901_at	U80821
100902_at	AI846549
100903_at	AJ007780
100904_at	AI852257
100905_at	AI849361
100906_at	M68903
100907_at	AJ131398
100908_at	M36033
100909_at	AA760364
100910_at	M14689
100911_at	AB002136
100912_at	AI182009
100913_at	AI847418
100914_at	AA624599
100915_at	AW125698
100916_at	U38652
100917_at	AA795841
100920_at	AA822539
100921_at	U09181
100923_at	AJ249706
100924_at	X55123
100925_at	AI131982
100926_at	AI837334
100927_at	U28960
100928_at	X75285
100929_at	AW046351
100931_at	X73230
100932_at	AF084459
100933_at	D45208
100935_at	U43548
100938_at	M31658
100939_at	AW123479
100941_at	AF039567
100943_at	U75215
100944_at	AA958903
100946_at	AF109906
100947_at	AI847906
100948_at	AW049351
100949_at	AI461767
100951_at	AF014010
100952_at	U47323
100953_at	AB015598
100954_at	AF057287
100955_at	AA989957
100956_at	AB005141
100957_at	AA881160
100958_at	AI647003
100959_at	X99921
100960_g_at	X99921
100961_at	AF012871
100962_at	U47543
100963_at	AI854243
100964_at	AF035208
100965_at	AA108893
100966_at	U07425
100967_at	AF072757
100968_at	AW122609
100970_at	X65687
100971_at	AJ131526
100972_s_at	AW124975
100973_i_at	AA672499
100974_at	AI844250
100975_f_at	AI854882
100976_at	AF013490
100977_at	AA691492
100978_at	U62105
100979_at	AW209763
100980_at	U58512
100981_at	U43084
100982_at	AI854539
100983_at	AB022053
100984_at	M63725
100985_at	Z19579
100986_at	AF055889
100987_f_at	AW045230
100988_at	AA796690
100989_at	AJ001373
100990_g_at	AJ001373
100991_at	AI852849
100992_at	U63386
100994_at	AF011908
100995_at	AA690742
100996_at	AF015811
100997_at	L22550
100998_at	M21932
101000_at	D78643
101001_at	AI647612
101002_at	AF032128
101003_at	X53824
101004_f_at	X91656
101006_at	M35797
101007_at	AI845732
101008_at	AB023485
101009_at	X15662
101010_at	U63648
101011_at	L25913
101013_at	U52823
101014_at	Y09864
101015_s_at	AF013486
101016_at	D87898
101017_at	AA791962
101019_at	U74683
101020_at	AI842667
101022_at	AI154281
101023_f_at	AI843605
101024_i_at	AJ005559
101025_f_at	AJ005559
101026_at	AF071209
101027_s_at	AF069051
101028_i_at	M15501
101029_f_at	M15501
101030_at	X99963
101031_at	M14689
101033_at	Y15522
101034_at	U07617
101035_at	U35846
101036_at	AW047047
101037_at	U17698
101039_at	X04647
101040_at	D38117
101041_at	M13806
101042_f_at	U51014
101043_f_at	AE000664
101044_at	X13752
101045_at	U96116
101046_at	X56397
101047_at	AW123697
101048_at	M14343
101049_at	L04280
101050_at	AF031381
101051_at	AF004941
101052_g_at	AF004941
101053_at	AW046847
101054_at	X00496
101055_at	J05261
101056_at	X60672
101057_at	AW121180
101058_at	J00356
101059_at	D76440
101060_at	M73329
101061_at	AI845293
101062_at	AF054670
101063_at	M29793
101064_at	AF044334
101065_at	X57800
101067_at	AW124711
101068_at	AA656621
101069_g_at	AA656621
101070_at	AW125438
101071_at	M76599
101072_at	AW124250
101073_at	X67469
101074_at	D89063
101075_f_at	AB016592
101076_r_at	AB016592
101077_at	X02677
101078_at	Y16258
101079_at	AF093140
101080_at	AB009993
101081_at	AJ010483
101082_at	J02652
101083_s_at	AF109905
101084_f_at	AI527477
101085_at	AI854257
101086_f_at	X63866
101087_r_at	X63866
101088_f_at	U20326
101089_at	AF002283
101090_at	L29454
101091_at	AF033353
101093_at	M15832
101094_at	AI836820
101095_at	L23769
101096_s_at	AF023482
101097_at	AW121176
101099_at	M98530
101101_at	Z67746
101102_at	AJ223156
101103_at	Y11638
101104_at	AB001990
101105_at	AB025349
101106_at	AI853331
101107_at	U81829
101108_at	AF034610
101109_at	U43512
101110_at	AF064749
101111_at	AF014371
101112_g_at	AF014371
101113_at	AI846668
101114_at	U17343
101115_at	J03298
101116_at	AA511245
101117_at	AA511261
101118_at	AA511266
101119_at	AA517650
101120_at	AA517731
101121_at	AA517747
101122_at	U58332
101123_at	U76253
101124_at	AA522008
101125_at	AA536953
101126_r_at	AA545222
101127_at	L34808
101128_at	L06234
101129_at	X83590
101130_at	X58251
101131_at	L37663
101132_at	L36179
101133_at	D38580
101134_at	L10908
101135_at	U18542
101136_at	L09754
101137_at	X76772
101138_at	U14419
101139_r_at	U37531
101140_at	U39391
101141_at	M33036
101142_at	U43319
101143_at	U43320
101144_at	U43673
101145_at	U33198
101146_at	U21224
101147_at	U13263
101148_at	D28577
101149_at	U46854
101150_at	L10427
101151_at	X66196
101152_at	Z18278
101153_at	U06662
101154_at	AA517023
101155_at	X61754
101156_at	Z31359
101157_at	V00790
101158_at	Y00850
101159_at	Z23066
101160_at	X53798
101161_at	X65635
